datetime,city,state,country,shape,summary,latitude,longitude
01/31/2023 19:49,Gothenburg,NE,USA,Fireball,"Saw trailblazer that moves very rapid and moved with sparkling tail behind and then when it disappears, sparkling tail disappears",40.9277324,-100.1619896
01/31/2023 19:15,Sulphur Springs,IN,USA,Circle,Fast spherical orange light,40.0047684,-85.4427506
01/31/2023 18:38,El Granada,CA,USA,Light,"Image of these UFO's were capture with Nikon D850, never personally view objects, only discovered after viewing image the next day.",37.513127,-122.46731582660925
01/31/2023 14:30,Layton,UT,USA,Circle,Working outside with two dozen others looked up and saw this object over the moon,41.0751048,-111.9741925
01/30/2023 21:15,Richmond,VA,USA,Circle,Unexplained movement of one object and 40 or so more objects.,37.5385087,-77.43428
01/30/2023 20:55,Orlando,FL,USA,Triangle,I rushed outside to check if it was a drone or an airplane but it was gone.,28.5421109,-81.3790304
01/30/2023 17:13,Collinsville,CT,USA,Light,Driving along River Road saw glowing orange object two tails hovering,41.819925999999995,-72.91689474416097
01/30/2023 16:47,Roseville,MN,USA,Triangle,Bright shimmering triangle-shaped craft in the northwestern sky.,45.0060767,-93.1566107
01/30/2023 13:50,Princeton,MN,USA,Unknown,Translucent distortion,45.5698156,-93.5803054
01/30/2023 05:00,Boulder,CO,USA,Other,octagonal shape comprised of interlocking triangles made 2 passes minutes apart,40.0149856,-105.270545
01/29/2023 23:59,Myrtle Beach,SC,USA,Orb,Woke up to see a bright orange yellow light through the trees of my backyard.,33.6956461,-78.8900409
01/29/2023 22:24,Northport,NY,USA,Chevron,"2 UFO at low level, tree tops",40.9009595,-73.343167
01/29/2023 21:16,Lowell,MA,USA,Light,Red almost diamond shape lights floating across sky at a slow pace,42.6414437,-71.3085329
01/29/2023 21:05,Clearwater Beach,FL,USA,Circle,Strange lights appeared over the water.,27.9774736,-82.8279313
01/29/2023 20:30,Mount Vernon,WA,USA,Changing,Color changing light that shifted shape,48.4200462,-122.32642
01/29/2023 20:24,National Park,NJ,USA,Light,"The object was moving fast but not too fast, too fast to be and airplane and not to slow to be mistaken as a drone",39.865968,-75.1796351
01/29/2023 19:23,Monterey,CA,USA,Triangle,3 dimmed lights making triangle formation. Slight black/grey outline of triangle shape.,36.2231079,-121.387742
01/29/2023 19:08,North Bend,OR,USA,Changing,The object hovered in place changing from a teardrop shape to triangle to flying saucer shape. It tilted at an angle of 45 degrees,43.4065089,-124.2242824
01/29/2023 19:00,Newark,NJ,USA,Orb,Glowing orb approached aircraft spotted from Porter Airlines flight from Toronto-Newark,40.735657,-74.1723667
01/29/2023 18:45,Lexington,KY,USA,Other,Big blue light stationery a few hundred yards wide very low just above the fog barrier.,38.0464066,-84.4970393
01/29/2023 17:02,Chatsworth,CA,USA,Circle,Seven to ten crescent/circle shaped objects in the evening sky over theChatsworth mountain,34.2572499,-118.6017022
01/29/2023 15:16,Paso Robles,CA,USA,Unknown,I was taking a picture of the moon And noticed something else,35.6262618,-120.6901319
01/29/2023 15:00,Albany,NY,USA,Oval,I have had many sightings throughout my life,42.6511674,-73.754968
01/29/2023 01:48,Lynnwood,WA,USA,Triangle,Picture of a triangle shaped object,47.8278656,-122.3053932
01/28/2023 23:00,Harrisburg,NC,USA,Circle,Seem to jump around several times,35.3258295,-80.6454979
01/28/2023 20:39,"Littlestown,",PA,USA,Cigar,Weird object hanging in sky with lights all around,39.7446302,-77.0880163
01/28/2023 20:30,Mount vernon,OH,USA,Light,"Low-flying object, 3 lights in a straight line, moving slowly, no noise.",40.3933956,-82.4857181
01/28/2023 20:01,Glen Burnie,MD,USA,Circle,2 pale orange circles moving next to eachother but not in sync,39.1595439,-76.61515136556432
01/28/2023 18:47,Ventura,CA,USA,Fireball,"Orange ""orb"", seen at 90 degrees above horizon; appeared stationary at least 10-15 seconds, then moved and faded out.",34.4458248,-119.0779359
01/28/2023 18:30,Phoenix,AZ,USA,Circle,Very Bright red and white circular object in southwest sky,33.4484367,-112.074141
01/28/2023 18:30,Groton,NH,USA,Circle,"A bright light above our home, and then we see two what we think are shooting stars leave from it",43.702133,-71.836166
