datetime,city,state,country,shape,summary,report_date
01/31/2023 19:49,01/31/2023 19:49,Gothenburg,NE,USA,Fireball,"Saw trailblazer that moves very rapid and moved with sparkling tail behind and then when it disappears, sparkling tail disappears"
01/31/2023 19:15,01/31/2023 19:15,Sulphur Springs,IN,USA,Circle,Fast spherical orange light
01/31/2023 18:38,01/31/2023 18:38,El Granada,CA,USA,Light,"Image of these UFO's were capture with Nikon D850, never personally view objects, only discovered after viewing image the next day."
01/31/2023 14:30,01/31/2023 14:30,Layton,UT,USA,Circle,Working outside with two dozen others looked up and saw this object over the moon
01/31/2023 08:20,01/31/2023 08:20,Larnaca,Larnaca District,Cyprus,Other,Something like drone
01/30/2023 21:15,01/30/2023 21:15,Richmond,VA,USA,Circle,Unexplained movement of one object and 40 or so more objects.
01/30/2023 20:55,01/30/2023 20:55,Orlando,FL,USA,Triangle,I rushed outside to check if it was a drone or an airplane but it was gone.
01/30/2023 17:13,01/30/2023 17:13,Collinsville,CT,USA,Light,Driving along River Road saw glowing orange object two tails hovering
01/30/2023 16:47,01/30/2023 16:47,Roseville,MN,USA,Triangle,Bright shimmering triangle-shaped craft in the northwestern sky.
01/30/2023 13:50,01/30/2023 13:50,Princeton,MN,USA,Unknown,Translucent distortion
01/30/2023 05:00,01/30/2023 05:00,Boulder,CO,USA,Other,octagonal shape comprised of interlocking triangles made 2 passes minutes apart
01/29/2023 23:59,01/29/2023 23:59,Myrtle Beach,SC,USA,Orb,Woke up to see a bright orange yellow light through the trees of my backyard.
01/29/2023 22:24,01/29/2023 22:24,Northport,NY,USA,Chevron,"2 UFO at low level, tree tops"
01/29/2023 21:16,01/29/2023 21:16,Lowell,MA,USA,Light,Red almost diamond shape lights floating across sky at a slow pace
01/29/2023 21:05,01/29/2023 21:05,Clearwater Beach,FL,USA,Circle,Strange lights appeared over the water.
01/29/2023 20:30,01/29/2023 20:30,"West Bromwich, West Midlands",Warwickshire,United Kingdom,Triangle,"Large triangular very low hovering aircrafts just above and slightly to right of my car, with multiple coloured lights underneath"
01/29/2023 20:30,01/29/2023 20:30,Mount Vernon,WA,USA,Changing,Color changing light that shifted shape
01/29/2023 20:24,01/29/2023 20:24,National Park,NJ,USA,Light,"The object was moving fast but not too fast, too fast to be and airplane and not to slow to be mistaken as a drone"
01/29/2023 19:23,01/29/2023 19:23,Monterey,CA,USA,Triangle,3 dimmed lights making triangle formation. Slight black/grey outline of triangle shape.
01/29/2023 19:08,01/29/2023 19:08,North Bend,OR,USA,Changing,The object hovered in place changing from a teardrop shape to triangle to flying saucer shape. It tilted at an angle of 45 degrees
01/29/2023 19:00,01/29/2023 19:00,Newark,NJ,USA,Orb,Glowing orb approached aircraft spotted from Porter Airlines flight from Toronto-Newark
01/29/2023 18:45,01/29/2023 18:45,Lexington,KY,USA,Other,Big blue light stationery a few hundred yards wide very low just above the fog barrier.
01/29/2023 17:02,01/29/2023 17:02,Chatsworth,CA,USA,Circle,Seven to ten crescent/circle shaped objects in the evening sky over theChatsworth mountain
01/29/2023 17:00,01/29/2023 17:00,SanJuan Island,WA,USA,Circle,Viewed odd objects launching off ocean or base Mt Rainier
01/29/2023 15:16,01/29/2023 15:16,Paso Robles,CA,USA,Unknown,I was taking a picture of the moon And noticed something else
01/29/2023 15:00,01/29/2023 15:00,Albany,NY,USA,Oval,I have had many sightings throughout my life
01/29/2023 10:20,01/29/2023 10:20,Sparwood,BC,Canada,Light,A green luminescent light flew across the valley over the town towards the coal mine....very straight line at a high speed
01/29/2023 03:00,01/29/2023 03:00,Canappeville,Normandy,France,Triangle,"Symmetrical Flight of Two Luminous Triangular-Shaped Objects, More or Less Stationary"
01/29/2023 01:48,01/29/2023 01:48,Lynnwood,WA,USA,Triangle,Picture of a triangle shaped object
01/28/2023 23:00,01/28/2023 23:00,Harrisburg,NC,USA,Circle,Seem to jump around several times
01/28/2023 20:39,01/28/2023 20:39,"Littlestown,",PA,USA,Cigar,Weird object hanging in sky with lights all around
01/28/2023 20:30,01/28/2023 20:30,Mount vernon,OH,USA,Light,"Low-flying object, 3 lights in a straight line, moving slowly, no noise."
01/28/2023 20:01,01/28/2023 20:01,Glen Burnie,MD,USA,Circle,2 pale orange circles moving next to eachother but not in sync
01/28/2023 18:47,01/28/2023 18:47,Ventura,CA,USA,Fireball,"Orange ""orb"", seen at 90 degrees above horizon; appeared stationary at least 10-15 seconds, then moved and faded out."
01/28/2023 18:30,01/28/2023 18:30,Phoenix,AZ,USA,Circle,Very Bright red and white circular object in southwest sky
01/28/2023 18:30,01/28/2023 18:30,Groton,NH,USA,Circle,"A bright light above our home, and then we see two what we think are shooting stars leave from it"
01/28/2023 18:00,01/28/2023 18:00,Dundalk,MD,USA,Changing,I believe it was something from another planet
01/28/2023 16:00,01/28/2023 16:00,Fries,VA,USA,Egg,Weird egg in the sky
01/28/2023 10:32,01/28/2023 10:32,Warrington,Cheshire East,United Kingdom,Unknown,Bright shimmering red light hovering looks like it was coming towards us.
01/28/2023 07:06,01/28/2023 07:06,Rye,NH,USA,Sphere,Reviewing pictures taken at sunrise revealed what looks like a balloon in the sky. A blowup of the pictures clearly shows a sphere.
01/27/2023 23:15,01/27/2023 23:15,Worcester,MA,USA,Fireball,"Western sky, large, ~1/6 moon diameter sustained flash, white and green low in the sky, moved downwards below the horizon very quickly."
01/27/2023 23:00,01/27/2023 23:00,Kirkland,WA,USA,Circle,"Huge flying circle object, w/ beautiful colorful trickling lights flying impossibly fast, then took a 90 degree turn into the clouds."
01/27/2023 22:16,01/27/2023 22:16,"Aiken,",SC,USA,Triangle,Gazing up at the full moon. Clear night. 5 or 6 large long triangles with red lights at the ends. I thought they were satellites.
01/27/2023 22:00,01/27/2023 22:00,Mishawaka,IN,USA,Sphere,Saw at least 50 spheres flying in aircraft formation overhead. I was awe struck by how many balls of light flying from east to west.
01/27/2023 21:29,01/27/2023 21:29,Clarkesville,GA,USA,Unknown,Large aircraft displaying three blinking lights approx 500 feet above ground noiseless stopped briefly while moving slowly (10-15 mph)
01/27/2023 20:10,01/27/2023 20:10,Fort Collins,CO,USA,Unknown,"A very bright light was idle in the sky, 2 seconds later it shot downwards at lightning speed."
01/27/2023 19:57,01/27/2023 19:57,Chesnee,SC,USA,Light,I shined flashlight at it then it starts moving torward us. Pretty scary
01/27/2023 15:30,01/27/2023 15:30,Milton,MA,USA,Formation,A dozen or more reflective objects appeared and disappeared and swarmed in an erratic circular pattern
